Verity_Lake_Entrance, Lake Verity
TG_Eterna_1F_Stairs_Right, TG Eterna 1F
TG_Eterna_2F_Down, TG Eterna 2F
TG_Eterna_2F_Up_Left, TG Eterna 2F
TG_Eterna_2F_Up_Right, TG Eterna 2F
TG_Eterna_3F_Down, TG Eterna 3F
TG_Eterna_3F_Up_Left, TG Eterna 3F
TG_Eterna_3F_Up_Right, TG Eterna 3F
Oreburgh_Gate_Exit_Left, Oreburgh Gate
Oreburgh_Gate_Exit_Right, Oreburgh Gate
Oreburgh_Gate_Stairs, Oreburgh Gate
Solaceon_Ruins_1F_Exit, Solaceon Ruins 1F
Solaceon_Ruins_1F_Bottom_Right, Solaceon Ruins 1F
Solaceon_Ruins_1F_Top_Left, Solaceon Ruins 1F
Solaceon_Ruins_1F_Top_Right, Solaceon Ruins 1F
Solaceon_Ruins_B1F_Bottom_Left, Solaceon Ruins B1F
Solaceon_Ruins_B1F_Bottom_Right, Solaceon Ruins B1F
Solaceon_Ruins_B1F_Top_Left, Solaceon Ruins B1F
Solaceon_Ruins_B1F_Top_Right, Solaceon Ruins B1F
Solaceon_Ruins_B2F_Bottom_Left, Solaceon Ruins B2F
Solaceon_Ruins_B2F_Bottom_Right, Solaceon Ruins B2F
Solaceon_Ruins_B2F_Top_Left, Solaceon Ruins B2F
Solaceon_Ruins_B2F_Top_Right, Solaceon Ruins B2F
Solaceon_Ruins_B3F_1_Bottom_Left, Solaceon Ruins B3F (1)
Solaceon_Ruins_B3F_1_Bottom_Right, Solaceon Ruins B3F (1)
Solaceon_Ruins_B3F_1_Top_Left, Solaceon Ruins B3F (1)
Solaceon_Ruins_B3F_1_Top_Right, Solaceon Ruins B3F (1)
Solaceon_Ruins_B3F_2_Bottom_Left, Solaceon Ruins B3F (2)
Solaceon_Ruins_B3F_2_Bottom_Right, Solaceon Ruins B3F (2)
Solaceon_Ruins_B3F_2_Top_Left, Solaceon Ruins B3F (2)
Solaceon_Ruins_B4F_Bottom_Left, Solaceon Ruins B4F
Solaceon_Ruins_B4F_Bottom_Right, Solaceon Ruins B4F
Solaceon_Ruins_B4F_Top_Left, Solaceon Ruins B4F
Solaceon_Ruins_B4F_Top_Right, Solaceon Ruins B4F
GHQ_Lobby_Exit_Left, Galactic HQ
GHQ_Lobby_Exit_Right, Galactic HQ
GHQ_Lobby_Stairs, Galactic HQ
GHQ_Big_Floor_Stairs, Galactic HQ
GHQ_Big_Floor_Warp_TV, Galactic HQ
GHQ_Big_Floor_Warp_Top, Galactic HQ
GHQ_Big_Floor_Warp_Bottom, Galactic HQ
GHQ_Basement_Stairs_Left, Galactic HQ
GHQ_Basement_Stairs_Right, Galactic HQ
GHQ_Basement_Stairs_Top, Galactic HQ
GHQ_Warp_Room_Stairs, Galactic HQ
GHQ_Warp_Room_Warp_Right, Galactic HQ
GHQ_Warp_Room_Warp_Middle, Galactic HQ
GHQ_Warp_Room_Warp_Left, Galactic HQ
GHQ_Stairs_Room_Stairs_Up, Galactic HQ
GHQ_Stairs_Room_Stairs_Down, Galactic HQ
GHQ_Stairs_Room_Warp, Galactic HQ
GHQ_Two_Warp_Left, Galactic HQ
GHQ_Two_Warp_Right, Galactic HQ
GHQ_Two_Warp_Stairs, Galactic HQ
GHQ_Cyrus_Warp_Green, Galactic HQ
GHQ_Cyrus_Warp_Top_Right, Galactic HQ
GHQ_Cyrus_Warp_Room, Galactic HQ
GHQ_Cyrus_Stairs, Galactic HQ
Acuity_Lake_Entrance, Acuity Lake
Acuity_Lake_Exit, Acuity Lake
Acuity_Lake_Cave, Acuity Lake
Valor_Lake_Exit, Valor Lake (L)
Valor_Lake_Cave, Valor Lake (L)
Verity_Lake_Exit, Verity Lake
Verity_Lake_Cave, Verity Lake
Coronet_Cyrus_Exit_Left, Mt Coronet
Coronet_Cyrus_Exit_Right, Mt Coronet
Coronet_Cyrus_Exit_North, Mt Coronet
Coronet_Big_Room_West, Mt Coronet
Coronet_Big_Room_East, Mt Coronet
Coronet_Big_Room_North, Mt Coronet
Coronet_Big_Room_South, Mt Coronet
Coronet_Waterfall_Room_Entrance_Left, Mt Coronet
Coronet_Waterall_Room_Entrance_Bottom, Mt Coronet
Coronet_Waterfall_Room_Exit, Mt Coronet
Coronet_Waterfall_Room_Waterfall, Mt Coronet
Coronet_Looker_Room_Exit_North, Mt Coronet
Coronet_Looker_Room_Exit_East, Mt Coronet
Coronet_Looker_Room_Exit_South, Mt Coronet
Coronet_Stairs_Left, Mt Coronet
Coronet_Stairs_Right, Mt Coronet
Coronet_Stairs_Cave_Exit, Mt Coronet
Coronet_Two_Caves_Exit, Mt Coronet
Coronet_Two_Caves_Middle, Mt Coronet
Coronet_Two_Caves_Stairs, Mt Coronet
Coronet_Peak_Top_Bottom_Cave, Coronet Peak
Coronet_Peak_Top_Middle_Cave, Coronet Peak
Coronet_Peak_Top_Upper_Cave, Coronet Peak
Coronet_Peak_Bottom_Right_Cave, Coronet Peak
Coronet_Peak_Bottom_Left_Cave, Coronet Peak
Coronet_Peak_Bottom_Lower_Cave, Coronet Peak
League_Centre_Small_Entrance, Route 223
Victory_Road_Entrance, Route 223
League_Centre_Small_Exit, Pokemon League PC
League_Centre_Small_Left, Pokemon League PC
League_Centre_Small_Right, Pokemon League PC
League_Centre_Big_Exit, Pokemon League PC (E4)
League_Centre_Big_E4, Pokemon League PC (E4)
League_Centre_Big_Up, Pokemon League PC (E4)
League_Centre_Big_Down, Pokemon League PC (E4)
Pokemon_League_Entrance, Pokemon League
Pokemon_League_E4_Exit, Pokemon League
Stark_Mountain_Entrance, Route 227
Route_227_House, Route 227
Route_226_House, Route 226
Route_226_Gate, Route 226
Eterna_Forest_Entrance, Route 205
Route_205_House, Route 205
Valley_Windworks_Entrance, Route 205
Route_206_Cave_Entrance, Route 206
Route_206_Hidden_Cave_Entrance, Route 206
Bicycle_Road_Entrance, Route 206
Route_207_Cave, Route 207
Route_208_Cave, Route 208
Route_208_House, Route 208
Route_208_Gate, Route 208
Route_210_House, Route 210
Route_213_Gate, Route 213
Route_213_Foot_Freak, Route 213
Route_213_Door, Route 213
Route_221_House, Route 221
Route_221_Pal_Park, Route 221
Survival_Area_Centre_Entrance, Survival Area
Survival_Area_Mart_Entrance, Survival Area
Survival_Area_House, Survival Area
Survival_Area_Battleground, Survival Area
Survival_Area_Rock_House, Survival Area
Fuego_Ironworks_Entrance, Fuego Ironworks
Fuego_Ironworks_Meadow_Entrance, Fuego Ironworks
Iron_Island_Room_1_Exit, Iron Island
Iron_Island_Room_1_Left, Iron Island
Iron_Island_Room_1_Right, Iron Island
Iron_Island_Room_2_Up, Iron Island
Iron_Island_Room_2_Left, Iron Island
Iron_Island_Room_2_Right, Iron Island
Iron_Island_Room_3_Cave, Iron Island
Iron_Island_Room_2_Exit_Left, Iron Island
Iron_Island_Room_2_Exit_Right, Iron Island
Jubilife_GTS_Entrance, Jubilife
Jubilife_GTS_House, Jubilife
Victory_Road_Exit_South, Victory Road
Victory_Road_Exit_North, Victory Road
Victory_Road_Main_Stairs_Right_Top, Victory Road
Victory_Road_Main_Stairs_Right_Middle, Victory Road
Victory_Road_Main_Stairs_Left_Top, Victory Road
Victory_Road_Main_Stairs_Left_Middle, Victory Road
Victory_Road_Main_Stairs_Left_Bottom, Victory Road
Victory_Road_Main_Cave, Victory Road
Victory_Road_Water_Stairs_Top, Victory Road
Victory_Road_Water_Stairs_Middle, Victory Road
Victory_Road_Water_Stairs_Bottom, Victory Road
